Site Name,Latitude,Longtitude
DB,43.338398,-124.320229
BM,43.343664,-124.321437
FP,43.35097,-124.315574
SB,43.334467,-124.374393
SS,43.325116,-124.32018
PI,49.169168,-123.934718
PO,49.19946,-123.959655
MB,48.339459,-124.675256
NB,48.367325,-124.61432
SP,48.317137,-124.447349
TN,47.254301,-122.551804
AL,48.520993,-123.009443
FB,48.489961,-123.070191
FH,48.545289,-123.012914
AP,48.919532,-125.541291
UC,48.947586,-125.551334
WC,46.614169,-123.958463
WR,46.702728,-123.84627
WT,46.707355,-124.006896
OS,44.62276,-124.041165
YB,44.672733,-124.065163
YH,44.717655,-124.060489
